InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,DayName
554697,21166,COOK WITH WINE METAL SIGN ,1,2011-05-25 17:31:00,2.08,14584,United Kingdom,Wednesday
561038,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2011-07-24 11:58:00,2.55,17114,United Kingdom,Sunday
560552,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,1,2011-07-19 12:54:00,1.65,15311,United Kingdom,Tuesday
559884,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,12,2011-07-13 11:34:00,1.25,16843,United Kingdom,Wednesday
544450,21789,KIDS RAIN MAC PINK,3,2011-02-20 12:23:00,0.85,17811,United Kingdom,Sunday
571046,23295,SET OF 12 MINI LOAF BAKING CASES,3,2011-10-13 13:35:00,0.83,18096,United Kingdom,Thursday
537604,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-07 13:01:00,1.45,13488,United Kingdom,Tuesday
565200,23266,SET OF 3 WOODEN STOCKING DECORATION,1,2011-09-01 16:30:00,1.25,17576,United Kingdom,Thursday
564167,85099F,JUMBO BAG STRAWBERRY,10,2011-08-23 13:50:00,2.08,17735,United Kingdom,Tuesday
562888,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-08-10 11:58:00,12.75,14388,United Kingdom,Wednesday
570503,21892,TRADITIONAL WOODEN CATCH CUP GAME ,4,2011-10-11 09:26:00,1.25,17965,United Kingdom,Tuesday
551983,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-05-05 14:32:00,12.75,17735,United Kingdom,Thursday
580958,23332,IVORY WICKER HEART LARGE,6,2011-12-06 14:30:00,1.65,17266,United Kingdom,Tuesday
580727,22460,EMBOSSED GLASS TEALIGHT HOLDER,13,2011-12-05 17:17:00,2.46,14096,United Kingdom,Monday
547891,22383,LUNCH BAG SUKI DESIGN ,10,2011-03-28 10:14:00,1.65,13266,United Kingdom,Monday
545978,22560,TRADITIONAL MODELLING CLAY,3,2011-03-08 12:19:00,1.25,13975,United Kingdom,Tuesday
555127,22817,CARD SUKI BIRTHDAY,12,2011-05-31 15:30:00,0.42,15241,United Kingdom,Tuesday
569640,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,36,2011-10-05 12:25:00,1.45,12471,Germany,Wednesday
553198,22544,MINI JIGSAW SPACEBOY,12,2011-05-15 14:48:00,0.42,13752,United Kingdom,Sunday
565563,20982,12 PENCILS TALL TUBE SKULLS,1,2011-09-05 12:18:00,0.85,14177,United Kingdom,Monday
573909,23296,SET OF 6 TEA TIME BAKING CASES,1,2011-11-01 15:26:00,1.25,17813,United Kingdom,Tuesday
543631,21500,PINK POLKADOT WRAP ,25,2011-02-10 16:17:00,0.42,14081,United Kingdom,Thursday
548870,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,4,2011-04-04 14:41:00,2.95,14606,United Kingdom,Monday
545996,21679,SKULLS  STICKERS,1,2011-03-08 14:12:00,0.85,14367,United Kingdom,Tuesday
561616,23338,EGG FRYING PAN RED ,2,2011-07-28 13:02:00,2.08,15023,United Kingdom,Thursday
545681,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-03-06 11:28:00,1.25,16923,United Kingdom,Sunday
546920,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-03-18 09:55:00,2.95,12471,Germany,Friday
564733,82001S,VINYL RECORD FRAME SILVER,1,2011-08-28 13:18:00,3.75,17841,United Kingdom,Sunday
545690,22079,RIBBON REEL HEARTS DESIGN ,1,2011-03-06 12:46:00,1.65,13263,United Kingdom,Sunday
561875,23311,VINTAGE CHRISTMAS STOCKING ,24,2011-07-31 12:05:00,2.55,14885,United Kingdom,Sunday
537888,22454,MEASURING TAPE BABUSHKA RED,6,2010-12-09 10:04:00,2.95,15358,United Kingdom,Thursday
554816,23101,SILVER STARS TABLE DECORATION,3,2011-05-26 14:01:00,0.83,17550,United Kingdom,Thursday
544700,22138,BAKING SET 9 PIECE RETROSPOT ,2,2011-02-23 10:10:00,4.95,18041,United Kingdom,Wednesday
572741,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-10-25 15:47:00,2.89,14341,United Kingdom,Tuesday
568062,85015,SET OF 12  VINTAGE POSTCARD SET,24,2011-09-23 13:18:00,0.65,14014,United Kingdom,Friday
559109,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2011-07-06 11:52:00,8.5,15021,United Kingdom,Wednesday
543354,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-02-07 13:50:00,0.42,13458,United Kingdom,Monday
576062,23205,CHARLOTTE BAG VINTAGE ALPHABET ,5,2011-11-13 15:30:00,0.85,12867,United Kingdom,Sunday
562371,23202,JUMBO BAG VINTAGE LEAF,10,2011-08-04 14:30:00,2.08,13709,United Kingdom,Thursday
568492,22727,ALARM CLOCK BAKELIKE RED ,4,2011-09-27 11:58:00,3.75,18278,United Kingdom,Tuesday
549245,20728,LUNCH BAG CARS BLUE,2,2011-04-07 11:59:00,1.65,15005,United Kingdom,Thursday
577010,23159,SET OF 5 PANCAKE DAY MAGNETS,1,2011-11-17 12:11:00,2.08,15506,United Kingdom,Thursday
